Plot,GroupedTreeSpecies,Treedata.Tree_Decay,Treedata.DBH_cm ,,
22,2,3,23,,
22,2,4,8.5,,
22,2,4,22,,
22,2,4,15,,
22,1,4,11,,
22,2,4,28,,
22,2,5,21,,
22,2,4,19,,
22,NA,NA,NA,,
28,2,3,68,,
28,2,3,19.5,,
28,2,2,26,,
28,NA,NA,NA,,
28,2,5,81,,
28,2,4,25.6,,
28,2,4,64,,
28,2,4,13,,
28,2,3,13.5,,
28,2,4,49,,
28,2,4,40.5,,
28,2,4,64,,
28,2,4,48,,
28,2,3,9,,
28,2,5,34,,
28,2,4,42,,
28,2,4,23.4,,
28,2,4,12.5,,
28,2,4,21,,
28,2,4,28,,
28,2,4,46,,
28,2,3,22,,
28,2,4,23,,
28,2,3,19,,
28,2,4,75,,
28,2,3,18,,
28,2,3,35,,
28,2,3,46.5,,
30,2,4,30.5,,
30,2,4,16.5,,
30,2,2,22.5,,
30,2,3,24,,
30,2,4,35.5,,
30,2,4,11.5,,
30,2,3,34,,
30,2,4,49,,
30,1,1,17.5,,
30,1,1,29,,
30,2,2,69,,
30,1,2,9,,
30,2,4,40.5,,
30,2,4,12,,
30,2,4,13.5,,
30,2,4,23,,
30,2,4,42,,
30,2,4,45,,
30,2,3,29.5,,
30,1,2,9.5,,
30,2,4,13,,
30,2,4,16,,
30,2,5,31,,
30,2,4,25,,
30,2,4,14.5,,
30,2,4,32,,
30,2,4,40.5,,
30,2,4,11,,
30,2,4,19,,
30,1,3,16,,
30,1,2,9,,
30,2,4,14,,
30,1,2,15.5,,
30,2,4,16,,
30,1,2,18.5,,
30,2,4,24,,
30,2,3,38,,
30,2,2,37,,
31,2,3,13,,
31,2,2,41,,
31,2,2,37,,
31,2,4,11,,
31,2,3,9,,
31,2,2,34.5,,
31,2,3,45,,
31,2,5,14,,
31,2,4,39,,
31,2,3,12,,
31,2,3,30,,
31,2,2,38,,
31,1,2,12,,
31,1,4,9,,
31,1,3,22,,
31,1,3,21,,
31,1,3,24,,
31,1,3,12,,
31,1,3,7,,
31,1,3,20,,
31,1,4,9,,
31,1,3,7,,
31,1,3,9,,
31,2,2,14,,
31,1,3,14,,
31,1,4,9,,
31,1,3,18,,
31,2,3,44.5,,
31,1,4,16.5,,
31,1,2,10.5,,
31,1,3,7,,
31,1,3,29.5,,
31,1,3,28,,
31,2,4,13.5,,
31,1,2,13,,
31,1,3,10,,
31,2,3,9,,
31,2,3,9,,
31,2,3,12,,
31,2,4,13,,
31,2,3,9,,
31,2,3,13,,
31,1,2,32.5,,
31,2,4,7,,
31,1,3,13,,
31,2,4,9,,
31,2,3,34,,
31,2,3,8,,
31,1,3,22,,
31,1,3,16,,
31,1,3,21,,
31,1,3,21,,
31,2,3,44,,
31,1,3,12,,
31,1,4,27.5,,
31,1,3,8,,
31,1,3,8.5,,
31,1,2,34.5,,
31,1,3,19,,
31,1,2,9,,
31,1,4,15,,
31,1,3,33.5,,
31,1,2,62.5,,
31,1,3,8,,
31,1,3,32.5,,
31,1,3,12,,
31,1,3,54.5,,
31,1,4,18.5,,
31,1,3,9,,
31,1,3,7,,
31,1,4,25,,
31,1,3,16,,
31,1,4,25,,
33,2,3,58,,
33,1,1,9.5,,
33,1,1,9,,
33,1,2,16,,
33,1,1,21,,
33,1,1,4.5,,
33,2,2,52,,
33,2,3,9,,
33,2,3,35,,
33,1,1,8.5,,
33,1,1,10.5,,
33,1,2,20,,
33,1,1,24,,
33,2,1,8.5,,
33,2,2,10,,
33,2,2,8.5,,
33,2,2,9,,
33,2,2,8.5,,
33,2,3,45.5,,
33,2,2,7,,
33,NA,NA,NA,,
33,2,3,10,,
33,2,3,12.5,,
33,2,4,65.5,,
33,2,4,13,,
33,2,2,16,,
33,2,3,52,,
33,2,2,90,,
33,2,3,45.5,,
33,1,2,8.5,,
33,1,2,8,,
33,1,2,8.5,,
33,2,3,48,,
33,1,2,8.5,,
33,1,2,13,,
33,2,3,16.5,,
33,1,2,8,,
33,1,2,13.5,,
33,1,2,13.5,,
33,2,2,10.5,,
33,2,2,8,,
33,2,2,7,,
33,1,2,13,,
33,1,2,8,,
33,2,2,12,,
33,2,2,11,,
33,2,3,18,,
33,2,3,29.5,,
33,2,4,8.5,,
33,2,4,24.5,,
33,1,2,22.5,,
33,1,2,9,,
33,2,2,83,,
33,1,2,9,,
33,1,2,11.5,,
33,2,4,29.5,,
33,1,2,13,,
33,2,3,43,,
33,1,2,13.5,,
33,1,2,16,,
33,2,3,52,,
33,2,4,20.5,,
33,2,4,19,,
33,2,3,53.5,,
33,2,4,13,,
33,2,3,28,,
33,1,2,19,,
33,2,3,38,,
33,1,2,13.5,,
33,2,3,72.5,,
33,1,2,13,,
33,2,3,87.5,,
33,2,3,32,,
33,2,2,58,,
33,2,3,44,,
33,2,3,145,,
33,2,3,14.5,,
33,2,3,9,,
33,1,1,8,,
33,1,1,7,,
33,1,2,9,,
33,1,2,28.5,,
33,2,2,66.5,,
33,1,2,10,,
33,1,2,9,,
33,2,3,34.5,,
33,2,3,9.5,,
33,2,3,52,,
33,1,2,9.5,,
33,2,3,53.5,,
33,1,2,14.5,,
33,1,2,11,,
33,2,3,10,,
33,1,2,14,,
33,1,2,8.5,,
33,1,2,8.5,,
33,2,3,57.5,,
33,2,3,10,,
33,2,2,9,,
33,2,2,8.5,,
33,2,3,46.5,,
33,2,2,7.5,,
33,1,2,8,,
33,1,2,17,,
33,1,3,67,,
33,1,3,51,,
33,2,4,40.5,,
33,1,2,10.5,,
33,1,2,9,,
33,1,2,11,,
33,2,3,54,,
33,2,2,12,,
33,2,2,7.5,,
33,2,2,7.5,,
33,1,2,26,,
33,1,2,10.5,,
33,1,2,7,,
33,1,2,8,,
33,1,2,11,,
33,2,3,64.5,,
33,1,2,7,,
33,1,2,8.5,,
33,1,2,9.5,,
34,2,2,14.5,,
34,2,2,7.5,,
34,2,2,44.5,,
34,2,2,42,,
34,2,4,42,,
34,1,2,12,,
34,2,4,16,,
34,2,4,40.5,,
34,2,2,44,,
34,2,3,9.5,,
34,2,2,45,,
34,2,3,10.5,,
34,2,2,41,,
34,2,2,45,,
34,1,2,11,,
34,1,2,12,,
34,2,2,37,,
34,2,4,14,,
34,2,5,46,,
34,2,4,8.5,,
34,2,3,19,,
34,2,2,17,,
34,2,2,14,,
34,2,2,9,,
34,2,3,34,,
34,2,2,32,,
34,2,2,52,,
34,2,2,21,,
34,2,2,31,,
34,2,2,20,,
34,2,2,32,,
34,NA,5,19,,
34,2,4,26,,
34,2,3,13,,
34,2,4,9.5,,
34,2,4,25,,
34,2,5,10.5,,
34,2,4,22.5,,
34,2,2,56,,
34,2,4,32,,
34,2,5,17,,
34,2,3,19,,
34,2,5,32,,
34,2,2,39,,
34,2,3,21.5,,
34,2,2,50,,
34,2,NA,362,,
34,2,2,30,,
34,2,2,31,,
34,2,2,16,,
34,2,4,15,,
34,2,2,49,,
34,2,2,38,,
34,2,5,21,,
34,2,2,7,,
34,2,2,17,,
34,2,2,40,,
34,2,2,11,,
34,2,2,16,,
34,2,2,8,,
34,2,2,11,,
34,2,3,8.5,,
34,2,2,42,,
34,2,2,26,,
34,2,2,41,,
34,2,2,7.5,,
35,2,4,44,,
35,1,2,11.5,,
35,1,5,17,,
35,1,5,13,,
35,1,5,8,,
35,NA,NA,NA,,
35,1,5,21.5,,
35,2,5,9,,
35,2,4,66,,
35,2,5,32,,
35,2,4,13,,
35,2,5,12,,
35,2,4,71,,
35,2,5,69,,
35,2,3,9,,
35,2,3,7.5,,
35,2,3,63,,
35,2,3,48,,
35,2,3,37,,
35,2,4,10,,
35,2,3,42,,
35,1,3,25,,
36,2,3,8,,
36,2,3,9,,
36,2,4,8.5,,
36,2,4,38.5,,
36,2,3,17.5,,
36,2,4,38,,
36,2,5,36,,
36,1,3,26.5,,
36,2,3,10.5,,
36,2,4,40.5,,
36,2,4,39,,
36,2,2,60.5,,
36,2,3,48,,
36,2,3,63,,
36,2,3,55,,
36,2,3,54.5,,
36,2,3,55,,
36,2,4,24.5,,
36,2,3,8.5,,
36,2,3,25.5,,
36,2,4,29.5,,
36,2,3,40.5,,
36,2,3,17,,
36,2,4,27.5,,
36,2,3,13,,
36,2,3,14.5,,
36,2,4,30,,
36,2,4,8,,
36,2,4,9.5,,
36,2,4,34,,
36,2,5,18,,
36,2,4,32,,
36,2,3,25,,
36,2,5,33,,
36,2,4,30,,
36,2,3,23,,
36,2,5,27,,
36,2,3,42,,
36,2,4,9,,
36,2,3,46.5,,
36,2,4,12,,
37,1,3,57,,
37,1,4,14.5,,
37,1,4,13,,
37,2,4,13,,
37,1,3,13.5,,
37,1,3,16,,
37,1,4,20,,
37,1,3,16,,
37,1,3,27,,
37,NA,NA,NA,,
37,1,3,23,,
37,1,4,32.5,,
37,1,4,33,,
37,1,2,7,,
37,NA,NA,NA,,
37,1,3,54.5,,
37,1,2,8,,
38,2,4,25.5,,
38,2,3,8,,
38,2,4,25,,
38,2,4,9,,
